,Epoch,ModelName,IsPretrained,Purpose,TrialNumber,"DiceAccuracy(threshold=0.5,smoothing=1)",DiceLoss(smoothing=1)
25,1,AttDs,pretrained,train,01,0.92193740606308,0.56146240234375
51,2,AttDs,pretrained,train,01,0.9439595676958561,0.5231878757476807
77,3,AttDs,pretrained,train,01,0.9556215442717076,0.518405020236969
103,4,AttDs,pretrained,train,01,0.956711545586586,0.5206867456436157
129,5,AttDs,pretrained,train,01,0.9568982385098935,0.5124726891517639
155,6,AttDs,pretrained,train,01,0.9600102938711644,0.5007628798484802
181,7,AttDs,pretrained,train,01,0.9631653614342213,0.494276762008667
207,8,AttDs,pretrained,train,01,0.9577596187591553,0.5167316198348999
233,9,AttDs,pretrained,train,01,0.956923846155405,0.5256260633468628
259,10,AttDs,pretrained,train,01,0.9598548039793969,0.5216189026832581
285,11,AttDs,pretrained,train,01,0.952018491923809,0.5210462212562561
311,12,AttDs,pretrained,train,01,0.9565671347081662,0.5144093632698059
337,13,AttDs,pretrained,train,01,0.9572311155498028,0.5243130326271057
363,14,AttDs,pretrained,train,01,0.9569770321249962,0.5161582231521606
389,15,AttDs,pretrained,train,01,0.9591690003871918,0.5049115419387817
415,16,AttDs,pretrained,train,01,0.9572954326868058,0.51918625831604
441,17,AttDs,pretrained,train,01,0.9604475907981396,0.5149547457695007
467,18,AttDs,pretrained,train,01,0.9620881825685502,0.5054962038993835
493,19,AttDs,pretrained,train,01,0.9620296023786068,0.4998195469379425
519,20,AttDs,pretrained,train,01,0.9574086926877499,0.5098773837089539
545,21,AttDs,pretrained,train,01,0.9660782180726529,0.512389600276947
571,22,AttDs,pretrained,train,01,0.9611002877354622,0.5025498867034912
597,23,AttDs,pretrained,train,01,0.9644647762179375,0.4947196543216705
623,24,AttDs,pretrained,train,01,0.9596856720745564,0.5064602494239807
649,25,AttDs,pretrained,train,01,0.9642238318920135,0.481807142496109
675,26,AttDs,pretrained,train,01,0.9594105333089828,0.5012063384056091
701,27,AttDs,pretrained,train,01,0.950898364186287,0.525132954120636
727,28,AttDs,pretrained,train,01,0.9589364714920521,0.5215080380439758
753,29,AttDs,pretrained,train,01,0.9612273089587688,0.4732484817504883
779,30,AttDs,pretrained,train,01,0.9572040662169456,0.5408368110656738
805,1,AttDs,pretrained,train,02,0.25859957933425903,0.6181652545928955
831,2,AttDs,pretrained,train,02,0.9392394199967385,0.5970534682273865
857,3,AttDs,pretrained,train,02,0.9521750248968602,0.5827502608299255
883,4,AttDs,pretrained,train,02,0.9420899823307991,0.5970410108566284
909,5,AttDs,pretrained,train,02,0.9546483270823956,0.5863972902297974
935,6,AttDs,pretrained,train,02,0.9578338414430619,0.5573496222496033
961,7,AttDs,pretrained,train,02,0.9564613066613675,0.571487545967102
987,8,AttDs,pretrained,train,02,0.9552173390984536,0.5654408931732178
1013,9,AttDs,pretrained,train,02,0.958391223102808,0.5610457062721252
1039,10,AttDs,pretrained,train,02,0.9531742930412292,0.5873364806175232
1065,11,AttDs,pretrained,train,02,0.9584069140255452,0.5517659783363342
1091,12,AttDs,pretrained,train,02,0.9630538485944272,0.5577018857002258
1117,13,AttDs,pretrained,train,02,0.9571930021047593,0.5702442526817322
1143,14,AttDs,pretrained,train,02,0.9590927548706532,0.5380520224571228
1169,15,AttDs,pretrained,train,02,0.9570236280560493,0.5694468021392822
1195,16,AttDs,pretrained,train,02,0.9546269476413727,0.5804977416992188
1221,17,AttDs,pretrained,train,02,0.955176766961813,0.5866967439651489
1247,18,AttDs,pretrained,train,02,0.9621415585279465,0.5618093013763428
1273,19,AttDs,pretrained,train,02,0.9609106555581093,0.5572127103805542
1299,20,AttDs,pretrained,train,02,0.9534889310598373,0.5793249011039734
1325,21,AttDs,pretrained,train,02,0.955616906285286,0.5642300844192505
1351,22,AttDs,pretrained,train,02,0.9551225267350674,0.577392578125
1377,23,AttDs,pretrained,train,02,0.9552936814725399,0.5870285630226135
1403,24,AttDs,pretrained,train,02,0.9560188837349415,0.5846887230873108
1429,25,AttDs,pretrained,train,02,0.9610670134425164,0.559029221534729
1455,26,AttDs,pretrained,train,02,0.9576329328119755,0.5627739429473877
1481,27,AttDs,pretrained,train,02,0.9532279744744301,0.5718460083007812
1507,28,AttDs,pretrained,train,02,0.9621543176472188,0.5406599044799805
1533,29,AttDs,pretrained,train,02,0.961286585777998,0.5522385239601135
1559,30,AttDs,pretrained,train,02,0.9612890966236592,0.5531597137451172
1585,1,AttDs,pretrained,train,03,0.9198273643851281,0.1244115307927131
1611,2,AttDs,pretrained,train,03,0.9458855316042901,0.0610092766582965
1637,3,AttDs,pretrained,train,03,0.9598443545401097,0.0454515069723129
1663,4,AttDs,pretrained,train,03,0.9580690041184426,0.0466539524495601
1689,5,AttDs,pretrained,train,03,0.9577419720590115,0.0459283180534839
1715,6,AttDs,pretrained,train,03,0.9557918347418309,0.0480671972036361
1741,7,AttDs,pretrained,train,03,0.9596504606306553,0.0441627167165279
1767,8,AttDs,pretrained,train,03,0.9582128748297692,0.0453207045793533
1793,9,AttDs,pretrained,train,03,0.9612159207463264,0.0423684939742088
1819,10,AttDs,pretrained,train,03,0.95627523586154,0.0472030453383922
1845,11,AttDs,pretrained,train,03,0.9630793780088425,0.0402224212884902
1871,12,AttDs,pretrained,train,03,0.9626770913600922,0.0406775884330272
1897,13,AttDs,pretrained,train,03,0.9611583128571511,0.0427557788789272
1923,14,AttDs,pretrained,train,03,0.9610156081616879,0.0424518100917339
1949,15,AttDs,pretrained,train,03,0.963866911828518,0.0398547425866127
1975,16,AttDs,pretrained,train,03,0.9631718285381794,0.0400235168635845
2001,17,AttDs,pretrained,train,03,0.9596692770719529,0.0431267768144607
2027,18,AttDs,pretrained,train,03,0.9639353565871716,0.0392492674291133
2053,19,AttDs,pretrained,train,03,0.9623318649828434,0.0405941344797611
2079,20,AttDs,pretrained,train,03,0.9625613018870354,0.0408959425985813
